,COUNTRY,FAVG,FAVG,MAVG,MAVG,FEMALES,MALES
,,first,last,first,last,,
0,Albania,1529372.0,1422551.0,1521634.0,1415298.0,-106821.0,-106336.0
1,Austria,4148374.0,4544578.0,3893919.0,4411219.0,396204.0,517300.0
2,Belgium,5256416.0,5869136.0,5030154.0,5717060.0,612720.0,686906.0
3,Bosnia and Herzegovina,1938736.0,1962848.0,1862707.0,1874608.0,24112.0,11901.0
4,Bulgaria,4108861.0,3547230.0,3900281.0,3330513.0,-561631.0,-569768.0
5,Croatia,2233888.0,2035719.0,2066562.0,1913612.0,-198169.0,-152950.0
6,Cyprus,357079.0,460990.0,344465.0,439367.0,103911.0,94902.0
7,Czech Republic,5242669.0,5328433.0,4973936.0,5177339.0,85764.0,203403.0
8,Denmark,2709551.0,2942847.0,2649233.0,2913886.0,233296.0,264653.0
9,Estonia,741430.0,698767.0,646685.0,632165.0,-42663.0,-14520.0
10,Finland,2654539.0,2802563.0,2533469.0,2738455.0,148024.0,204986.0
11,France,31523457.0,34987639.0,29678219.0,32776665.0,3464182.0,3098446.0
12,Germany,42134319.0,42149426.0,40215606.0,41046652.0,15107.0,831046.0
13,Greece,5506585.0,5413810.0,5355547.0,5155398.0,-92775.0,-200149.0
14,Hungary,5343580.0,5055557.0,4843996.0,4654335.0,-288023.0,-189661.0
15,Iceland,142308.0,181451.0,142660.0,191069.0,39143.0,48409.0
16,Ireland,1944499.0,2542409.0,1921744.0,2490755.0,597910.0,569011.0
17,Italy,29393412.0,30290582.0,27580688.0,28842591.0,897170.0,1261903.0
18,Latvia,1262564.0,1012349.0,1074606.0,872141.0,-250215.0,-202465.0
19,Liechtenstein,16957.0,19750.0,16238.0,19432.0,2793.0,3194.0
20,Lithuania,1848576.0,1490741.0,1622242.0,1310099.0,-357835.0,-312143.0
21,Luxembourg,223963.0,317804.0,217562.0,322260.0,93841.0,104698.0
22,Malta,198502.0,250033.0,194526.0,268503.0,51531.0,73977.0
23,Moldova,1892381.0,1847484.0,1739082.0,1712036.0,-44897.0,-27046.0
24,Monaco,16988.0,16988.0,15969.0,15969.0,0.0,0.0
25,Montenegro,308167.0,313192.0,299057.0,306019.0,5025.0,6962.0
26,Netherlands,8105269.0,8817042.0,7940911.0,8716002.0,711773.0,775091.0
27,North Macedonia,1016955.0,979845.0,1017927.0,973117.0,-37110.0,-44810.0
28,Norway,2277134.0,2680024.0,2236618.0,2728296.0,402890.0,491678.0
29,Poland,19716825.0,19488234.0,18531251.0,18258891.0,-228591.0,-272360.0
30,Portugal,5359806.0,5433037.0,5002916.0,4928794.0,73231.0,-74122.0
31,Romania,11318195.0,9808358.0,10813775.0,9313701.0,-1509837.0,-1500074.0
32,Serbia,3854900.0,3507323.0,3648533.0,3327004.0,-347577.0,-321529.0
33,Slovakia,2766651.0,2785052.0,2612217.0,2662195.0,18401.0,49978.0
34,Slovenia,1018188.0,1049262.0,973872.0,1058817.0,31074.0,84945.0
35,Spain,20830704.0,24183577.0,20019708.0,23232217.0,3352873.0,3212509.0
36,Sweden,4495361.0,5174034.0,4400599.0,5241777.0,678673.0,841178.0
37,Switzerland,3697831.0,4384145.0,3532024.0,4320401.0,686314.0,788377.0
38,UK,30287648.0,33654848.0,28832025.0,32805496.0,3367200.0,3973471.0
39,Ukraine,26028896.0,22107030.0,22423360.0,19101178.0,-3921866.0,-3322182.0
